ID1,Reference,Province,Ecoregion,Region,Country,Platform,Thermal_regime,Location,Site,Year,Date,Period_ENOS,Coral_cover,Algal_cover,Lat,Lon
12,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Isla_EspIritu_Santo,2008,1/1/08,1998-2016,41.3,,24.390885,-110.355692
13,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,San_Lorenzo_Channel,2008,1/1/08,1998-2016,81.4,,24.361599,-110.325654
14,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Cabo_Pulmo,2008,1/1/08,1998-2016,17,,23.368583,-109.416667
15,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Loreto,2009,1/1/09,1998-2016,0.5,,25.795504,-111.231871
16,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Portugues,2009,1/1/09,1998-2016,38.1,,24.68758,-110.695293
17,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Isla_EspIritu_Santo,2009,1/1/09,1998-2016,41.3,,24.390885,-110.355692
18,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,San_Lorenzo_Channel,2009,1/1/09,1998-2016,81.4,,24.361599,-110.325654
19,"Aranceta-Garza, 2012 ",Cortezian,Cortezian,Mexican_Northern,Mexico,Continental,Seasonal,Los_Cabos ,Cabo_Pulmo,2009,1/1/09,1998-2016,17,,23.368583,-109.416667
20,"Reyes-Bonilla, 2013",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Central,Mexico,Continental,Seasonal,Bahia_de_Carrizales,Bahia_de_Carrizales,2005,1/1/05,1998-2016,61,,19.15,-104.733
21,"Reyes-Bonilla, 2013",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Central,Mexico,Continental,Seasonal,Bahia_de_Carrizales,Bahia_de_Carrizales,2006,1/1/06,1998-2016,61,,19.15,-104.733
22,"Pérez-Vivar, 2006",Tropical_East_Pacific,Cortezian,Mexican_Central,Mexico,Oceanic,Seasonal,Islas_Marias,Maria_Madre,1997,1/1/97,1983-1997,12.23,,21.521268,-106.531557
23,"Pérez-Vivar, 2006",Tropical_East_Pacific,Cortezian,Mexican_Central,Mexico,Oceanic,Seasonal,Islas_Marias, San_Juanito,1997,1/1/97,1983-1997,31.93,,21.743388,-106.649075
24,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,San_Agustin_Island,2000,1/1/00,1998-2016,63.9,13.6,15.686705,-96.229255
25,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,Jicaral_Chachacual,2000,1/1/00,1998-2016,11.6,45.6,15.697208,-96.213937
26,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,Cacaluta_Island,2000,1/1/00,1998-2016,61.4,9.3,15.719547,-96.161536
27,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Oaxaca,La_Entrega,2000,1/1/00,1998-2016,41.2,20.5,15.736167,-96.127782
28,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,Montosa_Island,2000,1/1/00,1998-2016,43.8,1.4,15.763545,-96.08385
29,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,San_Agustin_Island,2001,1/1/01,1998-2016,63.9,13.6,15.686705,-96.229255
30,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,Jicaral_Chachacual,2001,1/1/01,1998-2016,11.6,45.6,15.697208,-96.213937
31,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,Cacaluta_Island,2001,1/1/01,1998-2016,61.4,9.3,15.719547,-96.161536
32,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Oaxaca,La_Entrega,2001,1/1/01,1998-2016,41.2,20.5,15.736167,-96.127782
33,"Lopez-Perez, 2007 ",Tropical_East_Pacific,Mexican_Tropical_Pacific,Mexican_Southern,Mexico,Continental,Thermally_Stable,Bahias_de_Huatulco,Montosa_Island,2001,1/1/01,1998-2016,43.8,1.4,15.763545,-96.08385
34,"Carriquiry, 1997 ",Tropical_East_Pacific,Cortezian,Mexican_Central,Mexico,Continental,Seasonal,Bahia_Banderas,Careyeros,1991,1/1/91,1983-1997,44.73,,20.788393,-105.510107
35,"Guzman, 1987",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1980,1/1/80,1973-1982,17.8,69.5,8.7155,-83.8724
36,"Guzman, 1987 ",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1984,1/1/84,1983-1997,8.55,52.1,8.7155,-83.8724
37,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1986,1/1/86,1983-1997,4.3,,8.7155,-83.8724
38,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1987,1/1/87,1983-1997,4.3,,8.7155,-83.8724
39,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1985,1/1/85,1983-1997,3.8,,8.7155,-83.8724
40,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Secas_Islands,1988,1/1/88,1983-1997,13.8,,7.955,-82.0125
41,"Guzman, 1989",Galapagos,Eastern_Galapagos_Islands,Eastern_Galapagos_Islands,Ecuador,Oceanic,Galapagos_Islands,Galapagos_Islands ,Santa_Cruz_Island ,1986,1/1/86,1983-1997,1,,-0.494809,-90.320281
42,"Guzman, 1989",Tropical_East_Pacific,Cocos_Islands,Cocos_Islands,Costa_Rica,Oceanic,Thermally_Stable,Cocos_Island,Cocos_Island,1987,1/1/87,1983-1997,2.6,,5.529243,-87.06205
43,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1986,1/1/86,1983-1997,28.2,,7.79297,-81.75487
44,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Secas_Islands,1986,1/1/86,1983-1997,13.8,,7.955,-82.0125
45,"Guzman, 1989",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Secas_Islands,1988,1/1/88,1983-1997,13.8,,7.955,-82.0125
46,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Señorita_Islands,1987,1/1/87,1983-1997,49.5,,8.443672,-79.106492
47,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Saboga_Island,1987,1/1/87,1983-1997,39.5,,8.62595,-79.055038
48,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Pacheca_Islands,1987,1/1/87,1983-1997,1,,8.667788,-79.051066
49,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Cacaluta_Island,1987,1/1/87,1983-1997,5,,8.592511,-79.018458
50,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Contadora_Island,1987,1/1/87,1983-1997,15,,8.621906,-79.037179
51,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,La_Azufrada,1987,1/1/87,1983-1997,48.5,,2.953784,-78.17612
52,"Guzman, 1989",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,La_Azufrada,1988,1/1/88,1983-1997,48.5,,2.953784,-78.17612
53,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Isla_ballena,1992,1/1/92,1983-1997,20.52,,9.10684,-83.71319
54,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Isla_ballena,1994,1/1/94,1983-1997,25.95,,9.10684,-83.71319
55,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Isla_ballena,1995,1/1/95,1983-1997,25.95,,9.10684,-83.71319
56,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Isla_ballena,2001,1/1/01,1998-2016,13.72,,9.10684,-83.71319
57,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Manuel_Antonio,M.Antonio,1992,1/1/92,1983-1997,34.13,,9.372058,-84.15573
58,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Manuel_Antonio,M.Antonio,1994,1/1/94,1983-1997,52.39,,9.372058,-84.15573
59,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Manuel_Antonio,M.Antonio,1995,1/1/95,1983-1997,52.39,,9.372058,-84.15573
60,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Manuel_Antonio,M.Antonio,2001,1/1/01,1998-2016,30.33,,9.372058,-84.15573
61,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Cambutal,1992,1/1/92,1983-1997,22.83,,9.222367,-83.848505
62,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Cambutal,1994,1/1/94,1983-1997,25,,9.372058,-84.15573
63,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Cambutal,1995,1/1/95,1983-1997,25,,9.372058,-84.15573
64,"Jimenez, 2003",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Costa_Rica,Continental,Thermally_Stable,Parque_Nacional_Marino_Ballena,Cambutal,2001,1/1/01,1998-2016,20.65,,9.372058,-84.15573
65,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1985,1/1/85,1983-1997,30.41,,8.7155,-83.8724
66,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1985,1/1/85,1983-1997,13.24,,8.7155,-83.8724
67,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1985,1/1/85,1983-1997,23.27,,7.79297,-81.75487
68,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1986,1/1/86,1983-1997,22.18,,7.79297,-81.75487
69,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1985,1/1/85,1983-1997,6.94,,8.7155,-83.8724
70,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1985,1/1/85,1983-1997,18.76,,8.7155,-83.8724
71,"Guzman, 1990",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1985,1/1/85,1983-1997,17.85,,8.7155,-83.8724
72,"Glynn, 1988",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1982,1/1/82,1973-1982,41.54,,8.7155,-83.8724
73,"Glynn, 1988 ",Tropical_East_Pacific,Nicoya,Costa_Rica_Southern,Costa_Rica,Continental,Thermally_Stable,Cano_island,Cano_island,1984,1/1/84,1983-1997,12.52,,8.7155,-83.8724
74,"Glynn, 1988",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1982,1/1/82,1973-1982,17.31,,7.79297,-81.75487
75,"Glynn, 1988",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1984,1/1/84,1983-1997,4.1,,7.79297,-81.75487
76,"Glynn, 1988",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Taboga_Island,1982,1/1/82,1973-1982,53.94,,8.793191,-79.550422
77,"Glynn, 1988",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Taboga_Island,1984,1/1/84,1983-1997,5.89,,8.793191,-79.550422
78,"Glynn, 1988",Galapagos,Eastern_Galapagos_Islands,Eastern_Galapagos_Islands,Ecuador,Oceanic,Galapagos_Islands,Galapagos_Islands ,Santa_Cruz_Island ,1982,1/1/82,1973-1982,48.98,,-0.494809,-90.320281
79,"Glynn, 1988",Galapagos,Eastern_Galapagos_Islands,Eastern_Galapagos_Islands,Ecuador,Oceanic,Galapagos_Islands,Galapagos_Islands ,Santa_Cruz_Island ,1984,1/1/84,1983-1997,1.46,,-0.494809,-90.320281
80,"Jiménez, 2001",Tropical_East_Pacific,Nicoya,Nicaragua_Papagayo_Zone,Costa_Rica,Continental,Upwelling,Gulf_of_Papagayo,Bahia_Culebra,1996,1/1/96,1983-1997,53.4,,10.631,-85.6476
81,"Alvarado, 2012 ",Tropical_East_Pacific,Nicoya,Nicaragua_Papagayo_Zone,Costa_Rica,Continental,Upwelling,Gulf_of_Papagayo,Bahia_Culebra,2009,1/1/09,1998-2016,2.5,,10.631,-85.6476
82,"Alvarado, 2012",Tropical_East_Pacific,Nicoya,Nicaragua_Papagayo_Zone,Costa_Rica,Continental,Upwelling,Gulf_of_Papagayo,Bahia_Culebra,2009,1/1/09,1998-2016,38,,10.631,-85.6476
83,"Guzman, 2007 ",Tropical_East_Pacific,Cocos_Islands,Cocos_Islands,Costa_Rica,Oceanic,Thermally_Stable,Cocos_Island,Cocos_Island,1987,1/1/87,1983-1997,2.99,,5.529243,-87.06205
84,"Guzman, 2007 ",Tropical_East_Pacific,Cocos_Islands,Cocos_Islands,Costa_Rica,Oceanic,Thermally_Stable,Cocos_Island,Cocos_Island,2002,1/1/02,1998-2016,22.7,,5.529243,-87.06205
85,"Alvarado, 2012",Tropical_East_Pacific,Cocos_Islands,Cocos_Islands,Costa_Rica,Oceanic,Thermally_Stable,Cocos_Island,Cocos_Island,2009,1/1/09,1998-2016,24,,5.529243,-87.06205
86,"Glynn, 1982",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Secas_Islands,1980,1/1/80,1973-1982,58.43,,7.955,-82.0125
87,"Glynn, 1972",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Panama_Bight,Señorita_Islands,1971,1/1/71,1971-1972,25,,7.955,-82.0125
88,"Glynn, 1985",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1981,1/1/81,1973-1982,45,,7.79297,-81.75487
89,"Guzmán, 1991",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Panama_Bight,Iguana_Island,1989,1/1/89,1983-1997,36.7,,7.627481,-80.000247
90,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1984,1/1/84,1983-1997,5,,7.79297,-81.75487
91,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1985,1/1/85,1983-1997,6.87,,7.79297,-81.75487
92,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1986,1/1/86,1983-1997,8.62,,7.79297,-81.75487
93,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1987,1/1/87,1983-1997,8.72,,7.79297,-81.75487
94,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1988,1/1/88,1983-1997,10.47,,7.79297,-81.75487
95,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1989,1/1/89,1983-1997,7.75,,7.79297,-81.75487
96,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1990,1/1/90,1983-1997,8.91,,7.79297,-81.75487
97,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1992,1/1/92,1983-1997,11.35,,7.79297,-81.75487
98,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1993,1/1/93,1983-1997,11.34,,7.79297,-81.75487
99,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1994,1/1/94,1983-1997,7.21,,7.79297,-81.75487
100,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1995,1/1/95,1983-1997,13.9,,7.79297,-81.75487
101,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1997,1/1/97,1983-1997,13.63,,7.79297,-81.75487
102,"Glynn, 1988",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1998,1/1/98,1998-2016,13.26,,7.79297,-81.75487
103,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2000,1/1/00,1998-2016,16.18,,7.79297,-81.75487
104,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2001,1/1/01,1998-2016,14.4,,7.79297,-81.75487
105,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2002,1/1/02,1998-2016,23.44,,7.79297,-81.75487
106,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2003,1/1/03,1998-2016,25.31,,7.79297,-81.75487
107,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2004,1/1/04,1998-2016,28,,7.79297,-81.75487
108,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2005,1/1/05,1998-2016,27.4,,7.79297,-81.75487
109,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2006,1/1/06,1998-2016,30.91,,7.79297,-81.75487
110,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2007,1/1/07,1998-2016,29.72,,7.79297,-81.75487
111,"Glynn, 2014",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2010,1/1/10,1998-2016,34.97,,7.79297,-81.75487
112,"Glynn, 1976",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1974,1/1/74,1973-1982,13.1,,7.79297,-81.75487
113,"Glynn, 1976 ",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Secas_Islands,1974,1/1/74,1973-1982,68.7,,7.955,-82.0125
114," Glynn, 1982 ",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Secas_Islands,1976,1/1/76,1973-1982,16.5,,7.955,-82.0125
115,"Glynn, 1982",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,1979,1/1/79,1973-1982,13.1,,7.79297,-81.75487
117,"Glynn, 2014 ",Tropical_East_Pacific,Nicoya,Gulf_of_Chiriqui,Panama,Continental,Thermally_Stable,Gulf_of_Chiriqui,Uva_Island,2010,1/1/10,1998-2016,30,,7.79297,-81.75487
118,"Glynn, 1976",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Saboga_Island,1974,1/1/74,1973-1982,28.8,,8.62595,-79.055038
119,"Glynn, 1976",Tropical_East_Pacific,Panama_Bight,Panama_Bight,Panama,Continental,Upwelling,Pearl_Islands,Saboga_Island,1975,1/1/75,1973-1982,18.35,,8.62595,-79.055038
120,"Garzón-Ferreira, 1999 ",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Oceanic,Upwelling,Malpelo_Island,El_Arrecife,1999,1/1/99,1998-2016,28.86,,4.003333,-81.607222
121,"Palacios, 2014",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,La_Azufrada,2012,1/1/12,1998-2016,49.6,,2.953784,-78.17612
122,"Glynn, 1982 ",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,La_Azufrada,1980,1/1/80,1973-1982,36.52,,2.953784,-78.17612
123,"Guzman Hector, 1991",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,Playa_Blanca,1989,1/1/89,1983-1997,32.6,,2.953784,-78.17612
124,"Guzman Hector, 1991 ",Tropical_East_Pacific,Panama_Bight,Colombia,Colombia,Continental,Upwelling,Gorgona_Island,La_Azufrada,1989,1/1/89,1983-1997,50.2,,2.953784,-78.17612
